image_id,tile_id,min_x,max_x,min_y,max_y,tile_size_px,length_x_meters,length_y_meters,native_crs,GSD_input,Transform_id,Order,Blur_Type,Noise_Type,SNR_dB,PSF,GSD_output
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_0,379278.0,379406.1,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,17,BDN,aniso,gaussian,43.48,0.531,0.5139
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_0,379278.0,379406.1,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,10,BDN,iso,gaussian,43.29,0.617,0.4901
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_0,379278.0,379406.1,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,44,BND,iso,gaussian,41.33,0.502,0.548
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_427,379406.1,379534.2,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,6,NBD,iso,gaussian,42.65,0.611,0.5485
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_427,379406.1,379534.2,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,24,DBN,aniso,gaussian,40.28,0.587,0.4729
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_427,379406.1,379534.2,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,2,DNB,sinc,gaussian,41.8,0.527,0.5369
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_854,379534.2,379662.3,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,30,NDB,iso,gaussian,42.61,0.572,0.4515
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_854,379534.2,379662.3,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,14,DNB,iso,gaussian,42.51,0.615,0.4922
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_854,379534.2,379662.3,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,12,NBD,generalized,gaussian,40.99,0.575,0.4763
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_1281,379662.3,379790.4,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,29,DNB,sinc,gaussian,41.69,0.527,0.475
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_1281,379662.3,379790.4,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,22,BDN,aniso,gaussian,42.85,0.548,0.5172
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_1281,379662.3,379790.4,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,19,DBN,generalized,poisson,40.08,0.638,0.5379
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_1708,379790.4,379918.5,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,14,DNB,iso,gaussian,42.51,0.615,0.4922
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_1708,379790.4,379918.5,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,1,DBN,sinc,gaussian,40.12,0.517,0.5005
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2.tif,2562_1708,379790.4,379918.5,8118159.3,8118287.4,427,128.10000000000036,128.1,EPSG:32739,0.3,42,DNB,generalized,poisson,42.42,0.602,0.4704
